NOMBRE;CODIGO;NIT;ORDEN;DEPARTAMENTO;MUNICIPIO;ID
INSTITUTO COLOMBIANO AGROPECUARIO ICA SECCIONAL NORTE SANTANDER;709212286.0;8999990697;NACIONAL;NORTE SANTANDER;CUCUTA;0
INSTITUTO COLOMBIANO AGROPECUARIO ICA SANTANDER;708966817.0;899999069;NACIONAL;SANTANDER;BUCARAMANGA;0
INSTITUTO COLOMBIANO AGROPECUARIO ICA;702523150.0;899999069;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;0
INSTITUTO COLOMBIANO AGROPECUARIO ICA;117002002.0;899999069;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;0
INSTITUTO COLOMBIANO AGROPECUARIO ( ICA ) SECCIONAL ATLANTICO;708816616.0;899999069;NACIONAL;ATLANTICO;BARRANQUILLA;0
INSTITUTO CARO CUERVO;700931090.0;899999096;NACIONAL;DEFINIDO;DEFINIDO;0
FONDO DESARROLLO LOCAL CANDELARIA;702292376.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
FONDO DESARROLLO LOCAL BOSA;702187444.0;8999990615;TERRITORIAL;DEFINIDO;DEFINIDO;0
EMPRESA COLOMBIANA PETROLEOS;709072474.0;899999068;NACIONAL;DEFINIDO;DEFINIDO;0
DEPARTAMENTO ADMINISTRATIVO SERVICIO CIVIL DISTRITAL;702422486.0;8999990619;TERRITORIAL;BOGOTA D.C .;DEFINIDO;0
DEPARTAMENTO ADMINISTRATIVO DEPORTE RECREACION ACTIVIDAD FISICA APROVECHAMIENTO TIEMPO LIBRE COLDEPORTES;122005002.0;899999306;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;0
DEPARTAMENTO ADMINISTRATIVO DEFENSORIA ESPACIO PUBLICO;701433674.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
CUNDINAMARCA PERSONERIA MUNICIPIO CUCUNUBA;28859513.0;899999406;TERRITORIAL;CUNDINAMARCA;CUCUNUBA;0
INSTITUTO COLOMBIANO AGROPECUARIO ICA SECCIONAL META;710116427.0;899999069;TERRITORIAL;META;VILLAVICENCIO;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL GUAVIARE;709239909.0;899999069;NACIONAL;GUAVIARE;SAN JOSE GUAVIARE;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL HUILA;709242184.0;8999990697;NACIONAL;HUILA;NEIVA;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL NARIÑO;708817176.0;899999069;NACIONAL;NARIÑO;NARIÑO;0
SECRETARIA JURIDICA DISTRITAL;701902298.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
SECRETARIA JURIDICA DISTRITAL;201101048.0;899999061;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;0
SECRETARIA GENERAL ALCALDIA MAYOR BOGOTA;700218068.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
SECRETARIA EDUCACION DISTRITO;701321135.0;8999990619;TERRITORIAL;DEFINIDO;DEFINIDO;0
SECRETARIA DISTRITAL SEGURIDAD CONVIVENCIA JUSTICIA;701347270.0;899999061;NACIONAL;DEFINIDO;DEFINIDO;0
SECRETARIA DISTRITAL PLANEACION;701869646.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
SECRETARIA DISTRITAL MUJER;702091182.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
SECRETARIA DISTRITAL MOVILIDAD;701699407.0;8999990619;TERRITORIAL;DEFINIDO;DEFINIDO;0
SECRETARIA DISTRITAL HACIENDA;702069113.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
SECRETARIA DISTRITAL HABITAT;701149171.0;899999061;TERRITORIAL;ANTIOQUIA;MEDELLIN;0
SECRETARIA DISTRITAL GOBIERNO;701427445.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
SECRETARIA DISTRITAL DESARROLLO ECONOMICO ALCALDIA BOGOTA;702158197.0;8999990619;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;0
SECRETARIA DISTRITAL CULTURA RECREACION DEPORTE;702169566.0;899999061;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;0
SECRETARIA DISTRITAL AMBIENTE;702016304.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
PERSONERIA BOGOTA;702542523.0;899999061;CORPORACIÓN AUTÓNOMA;BOGOTA D.C .;BOGOTA D.C .;0
MUNICIPIO CUCUNUBA;705095701.0;899999406;TERRITORIAL;DEFINIDO;DEFINIDO;0
MINISTERIO DEPORTE;700613045.0;899999306;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;0
INSTITUTO COLOMBIANO AGROPUARIO SECCIONAL GUAJIRA;709180335.0;899999069;NACIONAL;GUAJIRA;RIOHACHA;0
INSTITUTO COLOMBIANO AGROPECUARIOSECCIONAL CHOCO;709180566.0;899999069;NACIONAL;CHOCO;QUIBDO;0
INSTITUTO COLOMBIANO AGROPECUARIOSECCIONAL CAQUETA;708794193.0;899999069;NACIONAL;CAQUETA;FLORENCIA;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL VICHADA;708816285.0;899999069;NACIONAL;VICHADA;PUERTO CARREÑO;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL VAUPES;708803770.0;899999069;NACIONAL;VAUPES;MITU;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL VALLE;709996599.0;899999069;NACIONAL;VALLE CAUCA;PALMIRA;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL TOLIMA;709001069.0;899999069;NACIONAL;TOLIMA;IBAGUE;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL SUCRE;709178487.0;899999069;NACIONAL;SUCRE;SINCELEJO;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL RISARALDA;708803713.0;899999069;NACIONAL;RISARALDA;DOSQUEBRADAS;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL QUINDIO;709778435.0;899999069;NACIONAL;QUINDIO;ARMENIA;0
CUNDINAMARCA INSTITUCION EDUCATIVA DEPARTAMENTAL ANTONIO NARIÑO CAJICA;225126912.0;899999106;TERRITORIAL;CUNDINAMARCA;CAJICA;0
CUNDINAMARCA CONCEJO MUNICIPIO CUCUNUBA;225224016.0;899999406;TERRITORIAL;CUNDINAMARCA;CUCUNUBA;0
INSTITUTO COLOMBIANO AGROPECUARIO SECCIONAL CAUCA;708817879.0;899999069;NACIONAL;CAUCA;POPAYAN;0
CONTRALORIA GENERAL REPUBLICAGERENCIA RISARALDA;708705751.0;899999067;NACIONAL;RISARALDA;PEREIRA;0
CGR GERENCIA DEPARTAMENTAL VALLE CAUCA;708710264.0;899999067;NACIONAL;VALLE CAUCA;CALI;0
CGR GERENCIA DEPARTAMENTAL HUILA;708597562.0;899999067;NACIONAL;HUILA;NEIVA;0
CGR GERENCIA DEPARTAMENTAL COLEGIADA GUAVIARE;708542832.0;899999067;NACIONAL;GUAVIARE;SAN JOSE GUAVIARE;0
CAR CORPORACION AUTONOMA REGIONAL CUNDINAMARCA;132003003.0;899999062;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;0
BOGOTA DC VEEDURIA DISTRITAL;1002032.0;899999061;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;0
BOGOTA DC SECRETARIA DISTRITAL SEGURIDAD CONVIVENCIA JUSTICIA BOGOTA;201101050.0;899999061;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;0
BOGOTA DC SECRETARIA DISTRITAL MUJER;211001401.0;899999061;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;0
BOGOTA DC ALCALDIA LOCAL USME;1002037.0;899999061;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;0
ALCALDIA LOCAL USME;702234303.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL USAQUEN;702413634.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL TUNJUELITO;702235227.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL TEUSAQUILLO ( OFICIAL );702196049.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL SUMAPAZ;702096124.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL SUBA;702230251.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL SANTAFE FONDO DESARROLLO LOCAL SANTA FE;701679615.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL SAN CRISTOBAL;702179383.0;899999061;TERRITORIAL;BOGOTA D.C .;DEFINIDO;0
ALCALDIA LOCAL RAFAEL URIBE URIBE;702118076.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL PUENTE ARANDAFONDO DESARROLLO LOCAL;700553027.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL MARTIRES;702169178.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL KENNEDY;702292459.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL FONTIBON;702292145.0;899999061;TERRITORIAL;CUNDINAMARCA;MADRID;0
ALCALDIA LOCAL ENGATIVA;702028184.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
CORPORACION AUTONOMA REGIONAL CUNDINAMARCA CAR .;706081700.0;899999062;CORPORACIÓN AUTÓNOMA;BOGOTA D.C .;DEFINIDO;0
ALCALDIA LOCAL CHAPINERO FONDO DESARROLLO LOCAL;700599038.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
ALCALDIA LOCAL BARRIOS UNIDOS;702285412.0;899999061;TERRITORIAL;ANTIOQUIA;TURBO;0
ALCALDIA LOCAL ANTONIO NARIÑO;702259441.0;899999061;TERRITORIAL;CAQUETA;FLORENCIA;0
.SECRETARIA DISTRITAL SALUD ..;702004052.0;899999061;TERRITORIAL;DEFINIDO;DEFINIDO;0
CGRGERENCIA DEPARTAMENTAL SUCRE;708683040.0;899999067;NACIONAL;SUCRE;SINCELEJO;0
CONTRALORIA GENERAL REPUBLICA;700686124.0;899999067;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;0
ALCALDIA LOCAL CIUDAD BOLIVAR //;702095092.0;899999061;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;0
CONTRALORIA GENERAL REPUBLICA CGR DEPARTAMENTAL GUAJIRA;708723671.0;899999067;NACIONAL;GUAJIRA;RIOHACHA;0
CONTRALORIA GENERAL REPUBLICACGRGERENCIA DEPARTAMENTAL VAUPES;708706254.0;899999067;NACIONAL;VAUPES;MITU;0
CONTRALORIA GENERAL REPUBLICACGRGERENCIA DEPARTAMENTAL SANTANDER;708680368.0;899999067;NACIONAL;SANTANDER;BUCARAMANGA;0
CONTRALORIA GENERAL REPUBLICACGRGERENCIA DEPARTAMENTAL SAN ANDRES;708700240.0;899999067;NACIONAL;SAN ANDRES PROVIDENCIA SANTA CATALINA;SAN ANDRES;0
CONTRALORIA GENERAL REPUBLICACGRGERENCIA DEPARTAMENTAL CORDOBA;708726294.0;899999067;NACIONAL;CORDOBA;MONTERIA;0
CONTRALORIA GENERAL REPUBLICACGRGERENCIA DEPARTAMENTAL AMAZONAS;708751508.0;899999067;NACIONAL;AMAZONAS;LETICIA;0
CONTRALORIA GENERAL REPUBLICACGR GERENCIA DEPARTAMENTAL NORTE SANTANDER;708688106.0;899999067;NACIONAL;NORTE SANTANDER;CUCUTA;0
CONTRALORIA GENERAL REPUBLICACGR GERENCIA DEPARTAMENTAL GUANIA;708725528.0;8999990672;NACIONAL;GUAINIA;INIRIDA;0
CONTRALORIA GENERAL REPUBLICACGR GERENCIA DEPARTAMENTAL CAUCA;708704770.0;899999067;NACIONAL;CAUCA;POPAYAN;0
CONTRALORIA GENERAL REPUBLICACGR GERENCIA DEPARTAMENTAL BOYACA;708659263.0;899999067;NACIONAL;BOYACA;TUNJA;0
CONTRALORIA GENERAL REPUBLICACGR GERENCIA DEPARTAMENTAL ATLANTICO;708723747.0;899999067;NACIONAL;ATLANTICO;BARRANQUILLA;0
CONTRALORIA GENERAL REPUBLICACGR GERENCIA DEPARTAMENTAL ANTIOQUIA;708658240.0;899999067;NACIONAL;ANTIOQUIA;MEDELLIN;0
CONTRALORIA GENERAL REPUBLICA GERENCIA DEPARTAMENTAL VICHADA;708723408.0;899999067;NACIONAL;VICHADA;PUERTO CARREÑO;0
CONTRALORIA GENERAL REPUBLICA GERENCIA DEPARTAMENTAL COLEGIADA BOLIVAR;708637244.0;899999067;NACIONAL;BOLIVAR;CARTAGENA;0
CONTRALORIA GENERAL REPUBLICACGR GERENCIA DEPARTAMENTAL CASANARE;708703582.0;899999067;NACIONAL;CASANARE;YOPAL;0
CONTRALORIA GENERAL REPUBLICA GERENCIA DEPARTAMENTAL CALDAS;708534359.0;899999067;NACIONAL;CALDAS;MANIZALES;0
CONTRALORIA GENERAL REPUBLICA GERENCIA DEPARTAMENTAL CHOCO;708700778.0;899999067;NACIONAL;CHOCO;QUIBDO;0
CONTRALORIA GENERAL REPUBLICA CGR GERENCIA DEPARTAMENTAL ARAUCA;708737929.0;899999067;NACIONAL;ARAUCA;ARAUCA;0
CONTRALORIA GENERAL REPUBLICA CGR GERENCIA DEPARTAMENTAL COLEGIADA NARIÑO;708699541.0;899999067;NACIONAL;NARIÑO;PASTO;0
CONTRALORIA GENERAL REPUBLICA CGR GERENCIA DEPARTAMENTAL MAGDALENA;708725551.0;899999067;NACIONAL;MAGDALENA;SANTA MARTA;0
CONTRALORIA GENERAL REPUBLICA CGR GERENCIA DEPARTAMENTAL META;708535638.0;899999067;NACIONAL;META;VILLAVICENCIO;0
CONTRALORIA GENERAL REPUBLICA CGR DEPARTAMENTAL PUTUMAYO;708724240.0;899999067;NACIONAL;PUTUMAYO;MOCOA;0
CONTRALORIA GENERAL REPUBLICA CGR UNIDAD SEGUIMIENTO AUDITORIA REGALIAS;708708185.0;899999067;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;0
CONTRALORIA GENERAL REPUBLICA CGR GERENCIA DEPARTAMENTAL QUINDIO;708719372.0;899999067;NACIONAL;QUINDIO;ARMENIA;0
CONTRALORIA GENERAL REPUBLICA GERENCIA COLEGIADA CAQUETA;709245153.0;899999067;NACIONAL;CAQUETA;FLORENCIA;0
CONTRALORIA GENERAL REPUBLICA CGRGERENCIA DEPARTAMENTAL TOLIMA;708719463.0;899999067;NACIONAL;TOLIMA;IBAGUE;0
CONTRALORIA GENERAL REPUBLICA CGR;126001000.0;899999067;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;0
CONTRALORIA GENERAL REPUBLICA CGRGERENCIA DEPARTAMENTAL CESAR;708991906.0;899999067;NACIONAL;CESAR;VALLEDUPAR;0
ACIDC;714522265.0;901486723;TERRITORIAL;DEFINIDO;DEFINIDO;1
CUNDINAMARCA AGENCIA COMERCIALIZACION INNOVACION DESARROLLO CUNDINAMARCA ACIDC;201101076.0;901486723;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;1
CORPORACION DESARROLLO SOSTENIBLE URABA;700562028.0;890907748;TERRITORIAL;ANTIOQUIA;APARTADO;2
CORPOURABA CORPORACION DESARROLLO SOSTENIBLE URABA;132010000.0;890907748;NACIONAL;ANTIOQUIA;MEDELLIN;2
ACOPI ANTIOQUIA;714363678.0;8909007481;TERRITORIAL;ANTIOQUIA;MEDELLIN;2
ACUEDUCTO ALCANTARILLADO POPAYAN S.A . E.S.P . * *;704996446.0;891500117;TERRITORIAL;CAUCA;POPAYAN;3
CAUCA ACUEDUCTO ALCANTARILLA POPAYAN SA ESP;219001032.0;891500117;TERRITORIAL;CAUCA;POPAYAN;3
CAUCA CAMARA COMERCIO CAUCA;219001029.0;891580011;TERRITORIAL;CAUCA;POPAYAN;3
ADMINISTRACION PUBLICA COOPERATIVA ENTIDAD PRESTADORA SERVICIOS PUBLICOS ACUEDUCTO ALCANTARILLADO ASEO;708817358.0;900303007;TERRITORIAL;BOYACA;CUCAITA;4
SANTANDER ADMINISTRACION PUBLICA COOPERATIVA MUNICIPIO ENCINO AGUASAN APC;268264017.0;900301723;TERRITORIAL;SANTANDER;ENCINO;5
ADMINISTRACION PUBLICA COOPERATIVA MUNICIPIO ENCINO AGUASAN A.P.C . E.S.P;704322866.0;900301723;TERRITORIAL;SANTANDER;ENCINO;5
NARIÑO ACUABUESACO ADMINISTRACION PUBLICA COOPERATIVA SERVICIOS PUBLICOS DOMICILIARIOS BUESACO;28895261.0;900162638;TERRITORIAL;NARIÑO;BUESACO;6
ADMINISTRACION PUBLICA COOPERATIVA SERVICIOS PUBLICOS DOMICILIARIOS BUESACO;719555070.0;900162638;TERRITORIAL;NARIÑO;BUESACO;6
ADMINISTRACION TEMPORAL SECTOR AGUA POTABLE SANEAMIENTO BASICO;708740709.0;892115015;TERRITORIAL;GUAJIRA;RIOHACHA;7
ANTIOQUIA ALCALDIA MUNICIPIO URRAO;205847011.0;892115155;TERRITORIAL;ANTIOQUIA;URRAO;7
GOBERNACION GUAJIRA;702594383.0;8921150151;TERRITORIAL;GUAJIRA;RIOHACHA;7
GUAJIRA ADMINISTRACION TEMPORAL SECTOR AGUA POTABLE SANEAMIENTO BASICO;244001019.0;892115015;TERRITORIAL;GUAJIRA;RIOHACHA;7
GUAJIRA ADMINISTRACION TEMPORAL SECTOR EDUCATIVO DEPARTAMENTO GUAJIRA RIOHACHA;244001017.0;892115015;TERRITORIAL;GUAJIRA;RIOHACHA;7
GUAJIRA ALCALDIA MUNICIPIO URIBIA;244847011.0;892115155;TERRITORIAL;GUAJIRA;URIBIA;7
GUAJIRA INSTITUCION EDUCATIVA SEÑORA CARMEN;244378014.0;892115145;TERRITORIAL;GUAJIRA;HATONUEVO;7
MUNICIPIO URIBIA;700554116.0;892115155;TERRITORIAL;GUAJIRA;URIBIA;7
ADMINISTRADORA COLOMBIANA PENSIONES COLPENSIONES;702640434.0;900336004;NACIONAL;DEFINIDO;DEFINIDO;8
ADMINISTRADORA RECURSOS SISTEMA GENERAL SEGURIDAD SOCIAL SALUD;701594715.0;901037916;NACIONAL;DEFINIDO;DEFINIDO;9
AEROCIVIL;701110272.0;899999059;NACIONAL;SANTANDER;SAN ANDRES;10
AERONAUTICA CIVIL AEROCIVIL;107002002.0;899999059;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;10
ALCALDIA MUNICIPAL COTA;704059641.0;899999705;TERRITORIAL;DEFINIDO;DEFINIDO;10
CUNDINAMARCA ALCALDIA MUNICIPIO COTA;225214011.0;899999705;TERRITORIAL;CUNDINAMARCA;COTA;10
CUNDINAMARCA CONCEJO MUNICIPIO VIANI;22586712.0;899999709;TERRITORIAL;CUNDINAMARCA;VIANI;10
CUNDINAMARCA PERSONERIA MUNICIPAL COTA;225214013.0;899999705;TERRITORIAL;CUNDINAMARCA;COTA;10
CUNDINAMARCA PERSONERIA MUNICIPAL VIANI;22586713.0;899999709;TERRITORIAL;CUNDINAMARCA;VIANI;10
RISARALDA CONCEJO MUNICIPIO SANTUARIO;28890060.0;891480034;TERRITORIAL;RISARALDA;SANTUARIO;11
RISARALDA AEROPUERTO INTERNACIONAL MATECAÑA PEREIRA;266001022.0;891480014;TERRITORIAL;RISARALDA;PEREIRA;11
ANTIOQUIA ALCALDIA MUNICIPIO BELLO;205088011.0;891480024;TERRITORIAL;ANTIOQUIA;BELLO;11
AEROPUERTO INTERNACIONAL MATECAÑA;705518066.0;891480014;TERRITORIAL;DEFINIDO;DEFINIDO;11
AGENCIA COOPERACION INVERSION MEDELLIN AREA METROPOLITANA;700082035.0;811036423;TERRITORIAL;ANTIOQUIA;MEDELLIN;12
ANTIOQUIA AGENCIA COOPERACION INVERSION MEDELLIN AREA METROPOLITANA;205000114.0;811036423;TERRITORIAL;ANTIOQUIA;MEDELLIN;12
AGENCIA CUNDINAMARCA PAZ CONVIVENCIA ACPC;702852070.0;901024331;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;13
BOGOTA AGENCIA CUNDINAMARCA PAZ POSTCONFLICTO;201101053.0;901024331;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;13
AGENCIA NACIONAL TIERRAS;101101030.0;900948953;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;14
AGENCIA NACIONAL TIERRAS ANT;702066010.0;900948953;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;14
AGENCIA DESARROLLO RURAL;701551798.0;900948958;NACIONAL;DEFINIDO;DEFINIDO;14
AGENCIA DESARROLLO RURAL ADR;101101031.0;900948958;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;14
AGENCIA DISTRITAL EDUCACION SUPERIOR CIENCIA TECNOLOGIA ATENEA;715791422.0;901508361;TERRITORIAL;DEFINIDO;DEFINIDO;15
AGENCIA DISTRITAL INFRAESTRUCTURA DISTRITO BARRANQUILLA;711161810.0;802024407;TERRITORIAL;DEFINIDO;DEFINIDO;16
ATLANTICO AGENCIA DISTRITAL INFRAESTRUCTURA DISTRITO BARRANQUILLA ADI;273217111.0;802024407;TERRITORIAL;ATLANTICO;BARRANQUILLA;16
AGENCIA EDUCACION POSTSECUNDARIA MEDELLIN SAPIENCIA;702288622.0;900602106;TERRITORIAL;DEFINIDO;DEFINIDO;17
ANTIOQUIA AGENCIA EDUCACION SUPERIOR MEDELLIN SAPIENCIA;205001151.0;900602106;TERRITORIAL;ANTIOQUIA;MEDELLIN;17
AGENCIA GESTION PAISAJE PATRIMONIO ALIANZAS PUBLICO PRIVADAS APP;700098056.0;900623766;TERRITORIAL;DEFINIDO;DEFINIDO;18
ANTIOQUIA AGENCIA GESTION PAISAJE PATRIMONIO ALIANZAS PUBLICO PRIVADAS MEDELLIN;205001178.0;900623766;TERRITORIAL;ANTIOQUIA;MEDELLIN;18
ANTIOQUIA EMPRESA DESARROLLO URBANO EDU MEDELLIN;268001703.0;900272057;TERRITORIAL;ANTIOQUIA;MEDELLIN;19
ANTIOQUIA EICE EDU HABITAT SABANETA;205631030.0;900272057;TERRITORIAL;ANTIOQUIA;SABANETA;19
EMPRESA DESARROLLO URBANO HABITAT;703168930.0;900272057;TERRITORIAL;ANTIOQUIA;MEDELLIN;19
AGENCIA INFRAESTRUCTURA META;706520657.0;900220547;TERRITORIAL;DEFINIDO;DEFINIDO;19
AGENCIA INFRAESTRUCTURA META AIM;250001054.0;900220547;TERRITORIAL;META;VILLAVICENCIO;19
AGENCIA INVEST IN ORIENTE;718931629.0;8110164993;TERRITORIAL;ANTIOQUIA;RIONEGRO;20
ANTIOQUIA INSTITUCION EDUCATIVA CRISTOBAL COLON MEDELLIN;205001200.0;811016998;TERRITORIAL;ANTIOQUIA;MEDELLIN;20
PERSONERIA MUNICIPAL CHIA;715280608.0;899999172;TERRITORIAL;CUNDINAMARCA;CHIA;21
FUERZA AEREA COLOMBIANA;700409022.0;899999102;NACIONAL;DEFINIDO;DEFINIDO;21
FUERZA AEREA COLOMBIANA;115001005.0;899999102;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;21
CUNDINAMARCA PERSONERIA MUNICIPIO CHIA;225175015.0;899999172;TERRITORIAL;CUNDINAMARCA;CHIA;21
CUNDINAMARCA ALCALDIA MUNICIPIO CALERA;225377011.0;899999712;TERRITORIAL;CUNDINAMARCA;CALERA;21
MUNICIPIO CALERA CUNDINAMARCA;706338985.0;899999712;TERRITORIAL;ANTIOQUIA;AMAGA;21
BOGOTA DC IED COLEGIO FEMENINO LORENCITA VILLEGAS SANTOS;211001418.0;899999121;TERRITORIAL;BOGOTA D.C .;BOGOTA D.C .;21
ALCALDIA MUNICIPAL VILLETA;702309410.0;899999312;TERRITORIAL;DEFINIDO;DEFINIDO;21
ALCALDIA MUNICIPAL CHIA;702831819.0;899999172;TERRITORIAL;DEFINIDO;DEFINIDO;21
AGENCIA LOGISTICA FUERZAS MILITARES;700985252.0;899999162;NACIONAL;SAN ANDRES PROVIDENCIA SANTA CATALINA;SAN ANDRES;21
BOYACA ALCALDIA MUNICIPIO CAPILLA;215380011.0;899999712;TERRITORIAL;BOYACA;CAPILLA;21
AGENCIA NACIONAL DEFENSA JURIDICA;700660053.0;900507741;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;22
ARAUCA INSTITUCION EDUCATIVA JOSE INOCENCIO CHINCA FORTUL;281300018.0;900077410;TERRITORIAL;ARAUCA;FORTUL;22
AGENCIA NACIONAL ESPECTRO;700507031.0;900334265;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;23
AGENCIA NACIONAL ESPECTRO ANE;211001019.0;900334265;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;23
AGENCIA NACIONAL HIDROCARBUROS;700862154.0;830127607;NACIONAL;BOGOTA D.C .;DEFINIDO;24
AGENCIA NACIONAL HIDROCARBUROS ANH;111003001.0;830127607;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;24
AGENCIA NACIONAL INFRAESTRUCTURA ANI;124001001.0;830125996;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;25
AGENCIA NACIONAL INFRAESTRUCTURA ANI;700771041.0;8301259969;NACIONAL;BOGOTA D.C .;BOGOTA D.C .;25
AGENCIA NACIONAL INMOBILIARIA VIRGILIO BARCO VARGAS;702580796.0;9004839910;NACIONAL;DEFINIDO;DEFINIDO;26
